,d_perg,pergunta,assunto,local,d_resp,resp,status
0,28/05/2022 às 08:51,Desrespeito e enganação,"['Financeiras', 'Cobrança indevida']",Brasília - DF,,,Não respondida
1,28/05/2022 às 08:34,Quero o meu dinheiro ,"['Financeiras', 'Cobrança indevida']",Vitória da Conquista - BA,,,Não respondida
2,28/05/2022 às 07:50,taxa conversor de moeda,"['Cartão de crédito', 'Cobrança indevida']",São Paulo - SP,,,Não respondida
3,28/05/2022 às 06:57,Cobrança indevida taxa de máquina,['Outro Tipo de produto/Serviço'],Brasília - DF,,,Não respondida
4,28/05/2022 às 04:27,Cielo [Editado pelo Reclame Aqui] e enrrolada ,"['Recuperadora de créditos-Cobranças', 'Cobrança indevida']",Ribeirão Preto - SP,,,Não respondida
5,27/05/2022 às 19:45,Venda rápida ,['Outro Tipo de produto/Serviço'],Campo Grande - MS,,,Não respondida
6,27/05/2022 às 17:34,Reclamação,['Outro Tipo de produto/Serviço'],Diadema - SP,,,Não respondida
7,27/05/2022 às 15:46,BLOQUEIO NOS RECEBIVEIS - ANTECIPAÇÃO ,"['Financeiras', 'Não recebimento de cartão']",Praia Grande - SP,,,Não respondida
8,27/05/2022 às 13:52,Cobrança,"['Financeiras', 'Cobrança indevida']",Sorocaba - SP,,,Não respondida
9,27/05/2022 às 13:49,Estão me cobrando para cancelar uma venda ,"['Financeiras', 'Cancelamento']",Recife - PE,27/05/2022 às 15:32,"Olá Stella.Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Conforme conversamos hoje dia 27/05, agenda financeira de seu cadastro não possui saldo disponível para o cancelamento.E conforme clausula 16ª do contrato Cielo, quando não possuir saldo disponível na agenda financeira, será necessário o pagamento do boleto para que haja saldo em sua agenda. Logo após ter saldo disponível em agenda, o cancelamento poderá ser realizado.Consequentemente devido a vocês não estarem cientes desse contrato, solicitaram o cancelamento do cadastro.Sendo assim solicitamos a retirada do equipamento. Prazo para conclusão é de 5 dias úteis.E para mantermos um bom relacionamento, realizamos o estorno em caráter de exceção das últimas 3 cobranças de aluguel. Dentro de 3 dias úteis será efetivado em sistema.Estamos à disposição para auxiliar em qualquer dúvida, as nossas centrais estão prontas para atende-lo (a) no canal que desejar:•  Central de Relacionamento: Atendimento de segunda a sábado das 8h00 às 22h00, nos telefones 4002-5472 (capitais e regiões metropolitanas) e 0800 570 8472 (demais localidades).•  Chat: Através do site Cielo atendimento 24 horas (https://www.cielo.com.br/).“Nosso compromisso é com você na luta de todo dia. Fomos indicados ao Prêmio Reclame Aqui, que reconhece as empresas com melhor atendimento ao cliente no Brasil! Ajude a gente, acessando: https://premio.reclameaqui.com.br/votacao/meios-de-pagamento-eletronico/cielo/51/10495.Abraços,FelipeEquipe Cielo",Respondida
10,27/05/2022 às 13:42,Falta de Atenção e Solução ao problema de Antecipação ,['Outro Tipo de produto/Serviço'],Três Corações - MG,27/05/2022 às 15:02,"Olá Daniele,Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Conforme falamos em 27/05/2022, verificamos que a antecipação realizada foi enviada ao Banco cadastrado para recebimento no mesmo dia da contratação em 23/05/2022, não tendo nenhuma divergência de valores, sendo assim, enviamos em seu e-mail privado cadastrado na manifestação, o documento com os números de liquidações dos valores enviados ao seu Banco para que possa verificar junto ao mesmo.Estamos à disposição para auxiliar em qualquer dúvida. Nossas centrais estão prontas para atende-lo (a) no canal que desejar:•  Central de Relacionamento: Atendimento de segunda a sábado das 8h00 às 22h00, nos telefones 4002-5472 (capitais e regiões metropolitanas) e 0800 570 8472 (demais localidades).•  Chat: Através do site Cielo atendimento 24 horas (https://www.cielo.com.br/)Atenciosamente,Maria GesikaEquipe Cielo",Respondida
11,27/05/2022 às 12:59,"Retorno da função de ""antecipação avulsa"" de recebíveis",['Outro Tipo de produto/Serviço'],Rio de Janeiro - RJ,27/05/2022 às 13:55,"Olá Neusa, boa tarde!Pela sua confiança em nosso trabalho, temos a responsabilidade de acompanhar todas as sinalizações de comportamentos que não condizem com a conduta estabelecida pela empresa. Por isso, quando nos deparamos com alguma situação atípica nos comprometemos a buscar a melhor forma para resolução.Tentei contato no dia 27/05 as 13:54, mas sem sucesso.Analisando seu cpf, nao foi identificado antecipação programada ativado e analisando a antecipação avulsa esta ativo e tem saldo disponivel conforme informacoes no site. Basta entrar no site Cielo e solicitar a antecipação avulsa na aba anteicpações contratar anteicpação avulsa agenda cielo. Reforçamos também que estamos à disposição para te ajudar com eventuais dúvidas por meio dos nossos canais de atendimento.Abraços,AntonioEquipe Cielo",Resolvido
